NaturalGas
Date,p_mw
2018-01-01 00:00:00,0.0
2018-01-01 00:15:00,0.0
2018-01-01 00:30:00,0.0
2018-01-01 00:45:00,0.0
2018-01-01 01:00:00,0.0
2018-01-01 01:15:00,0.0
2018-01-01 01:30:00,0.0
2018-01-01 01:45:00,0.0
2018-01-01 02:00:00,0.0
2018-01-01 02:15:00,0.0
2018-01-01 02:30:00,0.0
2018-01-01 02:45:00,0.0
2018-01-01 03:00:00,0.0
2018-01-01 03:15:00,0.0
2018-01-01 03:30:00,0.0
2018-01-01 03:45:00,0.0
2018-01-01 04:00:00,0.0
2018-01-01 04:15:00,0.0
2018-01-01 04:30:00,0.0
2018-01-01 04:45:00,0.0
2018-01-01 05:00:00,0.0
2018-01-01 05:15:00,0.0
2018-01-01 05:30:00,0.074458
2018-01-01 05:45:00,0.100715
2018-01-01 06:00:00,0.214739
2018-01-01 06:15:00,0.185381
2018-01-01 06:30:00,0.207953
2018-01-01 06:45:00,0.217336
2018-01-01 07:00:00,0.188082
2018-01-01 07:15:00,0.227102
2018-01-01 07:30:00,0.291459
2018-01-01 07:45:00,0.359537
2018-01-01 08:00:00,0.345957
2018-01-01 08:15:00,0.490691
2018-01-01 08:30:00,0.58253
2018-01-01 08:45:00,0.580559
2018-01-01 09:00:00,0.544105
2018-01-01 09:15:00,0.521312
2018-01-01 09:30:00,0.520464
2018-01-01 09:45:00,0.55238
2018-01-01 10:00:00,0.53908
2018-01-01 10:15:00,0.492363
2018-01-01 10:30:00,0.560707
2018-01-01 10:45:00,0.666728
2018-01-01 11:00:00,0.679356
2018-01-01 11:15:00,0.688922
2018-01-01 11:30:00,0.663614
2018-01-01 11:45:00,0.86646
2018-01-01 12:00:00,1.004106
2018-01-01 12:15:00,1.375673
2018-01-01 12:30:00,1.536777
2018-01-01 12:45:00,2.222317
2018-01-01 13:00:00,2.233517
2018-01-01 13:15:00,2.413515
2018-01-01 13:30:00,2.360147
2018-01-01 13:45:00,2.543545
2018-01-01 14:00:00,2.728267
2018-01-01 14:15:00,2.903484
2018-01-01 14:30:00,3.114275
2018-01-01 14:45:00,3.218564
2018-01-01 15:00:00,3.424932
2018-01-01 15:15:00,3.755723
2018-01-01 15:30:00,3.915507
2018-01-01 15:45:00,4.110396
2018-01-01 16:00:00,4.450646
2018-01-01 16:15:00,4.08537
2018-01-01 16:30:00,3.938981
2018-01-01 16:45:00,3.80415
2018-01-01 17:00:00,3.588501
2018-01-01 17:15:00,3.511038
2018-01-01 17:30:00,3.230666
2018-01-01 17:45:00,3.09843
2018-01-01 18:00:00,2.843381
2018-01-01 18:15:00,2.654635
2018-01-01 18:30:00,2.348283
2018-01-01 18:45:00,2.296342
2018-01-01 19:00:00,2.187411
2018-01-01 19:15:00,2.042832
2018-01-01 19:30:00,1.986466
2018-01-01 19:45:00,1.876203
2018-01-01 20:00:00,1.667716
2018-01-01 20:15:00,1.332939
2018-01-01 20:30:00,1.134765
2018-01-01 20:45:00,0.774723
2018-01-01 21:00:00,0.556145
2018-01-01 21:15:00,0.348288
2018-01-01 21:30:00,0.181231
2018-01-01 21:45:00,0.0
2018-01-01 22:00:00,0.0
2018-01-01 22:15:00,0.0
2018-01-01 22:30:00,0.0
2018-01-01 22:45:00,0.0
2018-01-01 23:00:00,0.0
2018-01-01 23:15:00,0.0
2018-01-01 23:30:00,0.0
2018-01-01 23:45:00,0.0
