Household
Date,P[W]
2014-01-01 00:00:00,624.8357076505616
2014-01-01 00:01:00,593.6438880055076
2014-01-01 00:02:00,633.4986330331683
2014-01-01 00:03:00,677.8228020126018
2014-01-01 00:04:00,590.5207435201006
2014-01-01 00:05:00,591.0786674728753
2014-01-01 00:06:00,682.3032591597707
2014-01-01 00:07:00,642.2714579061134
2014-01-01 00:08:00,580.9831052157872
2014-01-01 00:09:00,632.1419297558999
2014-01-01 00:10:00,582.4001460000454
2014-01-01 00:11:00,582.8416460262225
2014-01-01 00:12:00,618.783350347104
2014-01-01 00:13:00,511.5783275999792
2014-01-01 00:14:00,521.5535512712843
2014-01-01 00:15:00,580.2421694989541
2014-01-01 00:16:00,558.2720930083484
2014-01-01 00:17:00,625.1831187189001
2014-01-01 00:18:00,564.6266513771427
2014-01-01 00:19:00,539.9697731505057
2014-01-01 00:20:00,684.4244997274147
2014-01-01 00:21:00,600.4103493210771
2014-01-01 00:22:00,615.6326776438669
2014-01-01 00:23:00,541.5759611628647
2014-01-01 00:24:00,586.1513373113453
2014-01-01 00:25:00,619.4737060871646
2014-01-01 00:26:00,556.9350007946231
2014-01-01 00:27:00,633.8266836470887
2014-01-01 00:28:00,585.5669512979316
2014-01-01 00:29:00,601.5713013682749
2014-01-01 00:30:00,586.6277613105357
2014-01-01 00:31:00,709.8841042115193
2014-01-01 00:32:00,617.1524368132425
2014-01-01 00:33:00,565.4988546664111
2014-01-01 00:34:00,660.0687497834325
2014-01-01 00:35:00,558.4564247437887
2014-01-01 00:36:00,630.4988900566444
2014-01-01 00:37:00,522.6293071764848
2014-01-01 00:38:00,554.7606139896188
2014-01-01 00:39:00,631.5700812920634
2014-01-01 00:40:00,659.2074515624446
2014-01-01 00:41:00,631.4096396862395
2014-01-01 00:42:00,617.6159145713958
2014-01-01 00:43:00,608.9002469754103
2014-01-01 00:44:00,550.5864353005701
2014-01-01 00:45:00,589.0774274632729
2014-01-01 00:46:00,602.5948023990858
2014-01-01 00:47:00,679.0399553220878
2014-01-01 00:48:00,643.9218615536321
2014-01-01 00:49:00,539.1460423711391
2014-01-01 00:50:00,644.0593516730823
2014-01-01 00:51:00,609.1581422465937
2014-01-01 00:52:00,595.1232593161784
2014-01-01 00:53:00,660.1102768375865
2014-01-01 00:54:00,681.6335415844076
2014-01-01 00:55:00,677.2046744794868
2014-01-01 00:56:00,589.2368954266118
2014-01-01 00:57:00,616.2942558592499
2014-01-01 00:58:00,648.8751492860556
2014-01-01 00:59:00,681.6463371360622
2014-01-01 01:00:00,609.4674719517466
2014-01-01 01:01:00,624.7003380748871
2014-01-01 01:02:00,579.2236412718433
2014-01-01 01:03:00,575.2871618321782
2014-01-01 01:04:00,676.2808872199885
2014-01-01 01:05:00,704.0237005928866
2014-01-01 01:06:00,633.1682961493956
2014-01-01 01:07:00,687.5025501870803
2014-01-01 01:08:00,655.9648096089277
2014-01-01 01:09:00,606.1841236903565
2014-01-01 01:10:00,657.0669947601004
2014-01-01 01:11:00,716.456145872045
2014-01-01 01:12:00,638.3201186573158
2014-01-01 01:13:00,718.9007064675806
2014-01-01 01:14:00,510.23837153645985
2014-01-01 01:15:00,682.877855023775
2014-01-01 01:16:00,646.6921862809893
2014-01-01 01:17:00,627.9465684098543
2014-01-01 01:18:00,648.0420778239896
2014-01-01 01:19:00,544.6326963312367
2014-01-01 01:20:00,633.5846507334726
2014-01-01 01:21:00,662.9809767650023
2014-01-01 01:22:00,719.5771534905576
2014-01-01 01:23:00,620.3260434038664
2014-01-01 01:24:00,606.3719772369562
2014-01-01 01:25:00,622.2659082664557
2014-01-01 01:26:00,693.680969394853
2014-01-01 01:27:00,664.9055220568004
2014-01-01 01:28:00,622.5370594495311
2014-01-01 01:29:00,675.2455443576176
2014-01-01 01:30:00,654.9931532334188
2014-01-01 01:31:00,699.128628356728
2014-01-01 01:32:00,616.1508272002828
2014-01-01 01:33:00,635.4274776283289
2014-01-01 01:34:00,632.7622803656762
2014-01-01 01:35:00,579.749043679745
2014-01-01 01:36:00,668.2879080036466
2014-01-01 01:37:00,667.0917608234791
2014-01-01 01:38:00,654.8517731106746
2014-01-01 01:39:00,643.4238466738611
2014-01-01 01:40:00,584.9417693041646
2014-01-01 01:41:00,635.2351433324842
2014-01-01 01:42:00,639.6887867084805
2014-01-01 01:43:00,617.2677521378048
2014-01-01 01:44:00,649.8744330796521
2014-01-01 01:45:00,678.6983645677464
2014-01-01 01:46:00,753.3622198516128
2014-01-01 01:47:00,668.3389184967452
2014-01-01 01:48:00,673.0446504553584
2014-01-01 01:49:00,657.0019381949786
2014-01-01 01:50:00,565.3427762824017
2014-01-01 01:51:00,660.5127463389598
2014-01-01 01:52:00,665.4070536725387
2014-01-01 01:53:00,786.1147518638186
2014-01-01 01:54:00,653.891701064565
2014-01-01 01:55:00,679.1442194843687
2014-01-01 01:56:00,662.8883669464927
2014-01-01 01:57:00,606.7471566148452
2014-01-01 01:58:00,722.8793022856396
2014-01-01 01:59:00,703.8919162582941
2014-01-01 02:00:00,706.4039650401746
2014-01-01 02:01:00,621.9400980123522
2014-01-01 02:02:00,738.106289362961
2014-01-01 02:03:00,598.4311237406089
2014-01-01 02:04:00,698.4236346343032
2014-01-01 02:05:00,779.1606642988554
2014-01-01 02:06:00,620.668169815889
2014-01-01 02:07:00,642.4372026563516
2014-01-01 02:08:00,676.2917604549392
2014-01-01 02:09:00,646.6925125588141
2014-01-01 02:10:00,594.8902267753842
2014-01-01 02:11:00,676.408650133059
2014-01-01 02:12:00,620.4224187705192
2014-01-01 02:13:00,697.7743290526504
2014-01-01 02:14:00,628.6805988732681
2014-01-01 02:15:00,752.7056338999021
2014-01-01 02:16:00,636.6033520962801
2014-01-01 02:17:00,660.220043966875
2014-01-01 02:18:00,717.5560837097091
2014-01-01 02:19:00,615.8941100835947
2014-01-01 02:20:00,689.3674256995658
2014-01-01 02:21:00,743.9086697475476
2014-01-01 02:22:00,598.7344733694316
2014-01-01 02:23:00,688.897431088175
2014-01-01 02:24:00,693.216980938048
2014-01-01 02:25:00,719.8710878785591
2014-01-01 02:26:00,619.4895118098564
2014-01-01 02:27:00,615.8713197636134
2014-01-01 02:28:00,708.548331762739
2014-01-01 02:29:00,697.8575902076203
2014-01-01 02:30:00,696.0901021273216
2014-01-01 02:31:00,701.4449731489435
2014-01-01 02:32:00,650.678429659237
2014-01-01 02:33:00,696.8494536602786
2014-01-01 02:34:00,700.4474955312294
2014-01-01 02:35:00,650.6334040290437
2014-01-01 02:36:00,780.1968035516668
2014-01-01 02:37:00,711.1568271040851
2014-01-01 02:38:00,628.4571092624303
2014-01-01 02:39:00,721.4070676183211
2014-01-01 02:40:00,640.4024067393303
2014-01-01 02:41:00,729.0478235018859
2014-01-01 02:42:00,748.1804753292002
2014-01-01 02:43:00,649.7736835253114
2014-01-01 02:44:00,739.5337089691799
2014-01-01 02:45:00,712.5610519178556
2014-01-01 02:46:00,733.582116634822
2014-01-01 02:47:00,787.8758608318617
2014-01-01 02:48:00,681.3239089630877
2014-01-01 02:49:00,656.4636096094235
2014-01-01 02:50:00,650.2317994100887
2014-01-01 02:51:00,654.4741097071598
2014-01-01 02:52:00,691.9666415487934
2014-01-01 02:53:00,713.4364288243977
2014-01-01 02:54:00,710.7704731141333
2014-01-01 02:55:00,738.8521986635004
2014-01-01 02:56:00,698.7002338696614
2014-01-01 02:57:00,771.2839461976987
