Waste
Date,p_mw
2018-01-01 00:00:00,8.774138
2018-01-01 00:15:00,8.206897
2018-01-01 00:30:00,7.736207
2018-01-01 00:45:00,7.205172
2018-01-01 01:00:00,7.92931
2018-01-01 01:15:00,8.894828
2018-01-01 01:30:00,8.715517
2018-01-01 01:45:00,7.567241
2018-01-01 02:00:00,8.146552
2018-01-01 02:15:00,7.253448
2018-01-01 02:30:00,7.977586
2018-01-01 02:45:00,7.615517
2018-01-01 03:00:00,7.482759
2018-01-01 03:15:00,6.505172
2018-01-01 03:30:00,6.601724
2018-01-01 03:45:00,7.289655
2018-01-01 04:00:00,7.748276
2018-01-01 04:15:00,6.915517
2018-01-01 04:30:00,6.65
2018-01-01 04:45:00,6.601724
2018-01-01 05:00:00,6.939655
2018-01-01 05:15:00,7.132759
2018-01-01 05:30:00,7.555172
2018-01-01 05:45:00,7.35
2018-01-01 06:00:00,6.263793
2018-01-01 06:15:00,5.503448
2018-01-01 06:30:00,4.694828
2018-01-01 06:45:00,6.891379
2018-01-01 07:00:00,5.781034
2018-01-01 07:15:00,6.118966
2018-01-01 07:30:00,7.22931
2018-01-01 07:45:00,6.65
2018-01-01 08:00:00,6.915517
2018-01-01 08:15:00,6.541379
2018-01-01 08:30:00,6.131034
2018-01-01 08:45:00,6.903448
2018-01-01 09:00:00,7.205172
2018-01-01 09:15:00,7.386207
2018-01-01 09:30:00,6.372414
2018-01-01 09:45:00,6.505172
2018-01-01 10:00:00,5.925862
2018-01-01 10:15:00,5.044828
2018-01-01 10:30:00,4.972414
2018-01-01 10:45:00,7.506897
2018-01-01 11:00:00,6.855172
2018-01-01 11:15:00,5.962069
2018-01-01 11:30:00,8.025862
2018-01-01 11:45:00,7.543103
2018-01-01 12:00:00,6.625862
2018-01-01 12:15:00,7.060345
2018-01-01 12:30:00,6.782759
2018-01-01 12:45:00,8.098276
2018-01-01 13:00:00,8.134483
2018-01-01 13:15:00,7.92931
2018-01-01 13:30:00,8.556897
2018-01-01 13:45:00,6.022414
2018-01-01 14:00:00,7.796552
2018-01-01 14:15:00,7.374138
2018-01-01 14:30:00,7.687931
2018-01-01 14:45:00,8.146552
2018-01-01 15:00:00,8.544828
2018-01-01 15:15:00,7.784483
2018-01-01 15:30:00,8.412069
2018-01-01 15:45:00,7.362069
2018-01-01 16:00:00,8.75
2018-01-01 16:15:00,7.832759
2018-01-01 16:30:00,8.255172
2018-01-01 16:45:00,8.455862
2018-01-01 17:00:00,8.556897
2018-01-01 17:15:00,8.691379
2018-01-01 17:30:00,8.025862
2018-01-01 17:45:00,8.025862
2018-01-01 18:00:00,8.834483
2018-01-01 18:15:00,7.868966
2018-01-01 18:30:00,8.315517
2018-01-01 18:45:00,7.760345
2018-01-01 19:00:00,8.454517
2018-01-01 19:15:00,8.356897
2018-01-01 19:30:00,7.651724
2018-01-01 19:45:00,8.243103
2018-01-01 20:00:00,8.505172
2018-01-01 20:15:00,8.582759
2018-01-01 20:30:00,7.808621
2018-01-01 20:45:00,8.762069
2018-01-01 21:00:00,8.774138
2018-01-01 21:15:00,8.556897
2018-01-01 21:30:00,5.708621
2018-01-01 21:45:00,7.506897
2018-01-01 22:00:00,6.637931
2018-01-01 22:15:00,7.760345
2018-01-01 22:30:00,6.987931
2018-01-01 22:45:00,7.868966
2018-01-01 23:00:00,8.786207
2018-01-01 23:15:00,8.605172
2018-01-01 23:30:00,8.650348
2018-01-01 23:45:00,8.484483
